# label,type,units,file
e,float,0,.setup
a,float,au,.setup
mlr,float,Msol/yr,.in
vw,float,km/s,.in
Rinj,float,au,.in
Tw,float,K,.in
0,0,0,0
iwr,integer,0,.in
wss,float,0,.in
0,0,0,0
m1,float,Msol,.setup
0,0,0,0
m2,float,Msol,.setup
racc2,float,Rsol,.setup
0,0,0,0
icompstar,integer,0,.setup
subst,integer,0,.setup
m3,float,Msol,.setup
racc3,float,Rsol,.setup
incl,float,0,setup
eIn,float,0,.setup
aIn,float,au,.setup
0,0,0,0
gamma,float,0,.setup
mu,float,0,.in
icooling,integer,0,.in
icoolmeth,integer,0,.in
HIexcit,integer,0,.in
eos,integer,0,.in
bound,float,au,.in
0,0,0,0
f_acc,float,0,.in
Tfloor,float,0,.in
