# Model,Publication
m1_1.5_icompstar_1_m2_1.0_racc2_0.04_a_6.0_e_0.0_gamma_1.2_eos_2_mu_1.26_icooling_1_icoolmeth_1_HIexcit_1_Tfloor_10.0_f_acc_0.8_vw_10.0_Rinj_1.3_mlr_1e-07_Tw_3000.0_iwr_5_wss_1.0_bound_20.0,Malfait+2024 (10.1051/0004-6361/202450338) 
m1_1.5_icompstar_1_m2_1.0_racc2_0.04_a_6.0_e_0.0_gamma_1.2_eos_2_mu_1.26_icooling_1_icoolmeth_1_HIexcit_1_Tfloor_10.0_f_acc_0.8_vw_10.0_Rinj_1.3_mlr_1e-07_Tw_3000.0_iwr_6_wss_1.0_bound_20.0,Malfait+2024 (10.1051/0004-6361/202450338) 
m1_1.5_icompstar_1_m2_1.0_racc2_0.04_a_6.0_e_0.0_gamma_1.2_eos_2_mu_1.26_icooling_1_icoolmeth_1_HIexcit_1_Tfloor_10.0_f_acc_0.8_vw_10.0_Rinj_1.3_mlr_1e-07_Tw_3000.0_iwr_7_wss_1.0_bound_20.0,Malfait+2024 (10.1051/0004-6361/202450338) 
m1_1.5_icompstar_1_m2_1.0_racc2_0.04_a_6.0_e_0.0_gamma_1.2_eos_2_mu_1.26_icooling_1_icoolmeth_1_HIexcit_1_Tfloor_10.0_f_acc_0.8_vw_10.0_Rinj_1.3_mlr_1e-07_Tw_3000.0_iwr_8_wss_1.0_bound_20.0,Malfait+2024 (10.1051/0004-6361/202450338) 
m1_1.5_icompstar_1_m2_1.0_racc2_0.04_a_6.0_e_0.0_gamma_1.2_eos_2_mu_1.26_icooling_1_icoolmeth_1_HIexcit_1_Tfloor_10.0_f_acc_0.8_vw_10.0_Rinj_1.3_mlr_1e-07_Tw_3000.0_iwr_9_wss_1.0_bound_20.0,Malfait+2024 (10.1051/0004-6361/202450338) 
m1_1.5_icompstar_1_m2_1.0_racc2_0.01_a_6.0_e_0.0_gamma_1.2_eos_2_mu_1.26_icooling_1_icoolmeth_1_HIexcit_1_Tfloor_10.0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_1e-07_Tw_3000.0_iwr_6_wss_1.0_bound_20.0,Malfait+2024 (10.1051/0004-6361/202450338) 
m1_1.5_icompstar_1_m2_1.0_racc2_0.01_a_6.0_e_0.0_gamma_1.2_eos_2_mu_1.26_icooling_1_icoolmeth_1_HIexcit_1_Tfloor_10.0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_1e-07_Tw_3000.0_iwr_7_wss_1.0_bound_20.0,Malfait+2024 (10.1051/0004-6361/202450338) 
m1_1.5_icompstar_1_m2_1.0_racc2_0.01_a_6.0_e_0.0_gamma_1.2_eos_2_mu_1.26_icooling_1_icoolmeth_1_HIexcit_1_Tfloor_10.0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_1e-07_Tw_3000.0_iwr_8_wss_1.0_bound_20.0,Malfait+2024 (10.1051/0004-6361/202450338) 
m1_1.5_icompstar_1_m2_1.0_racc2_0.04_a_6.0_e_0.0_gamma_1.2_eos_2_mu_1.26_icooling_1_icoolmeth_1_HIexcit_1_Tfloor_10.0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_1e-07_Tw_3000.0_iwr_8_wss_1.0_bound_20.0,Malfait+2024 (10.1051/0004-6361/202450338) 
m1_1.5_icompstar_1_m2_1.0_racc2_0.04_a_6.0_e_0.0_gamma_1.2_eos_2_mu_1.26_icooling_1_icoolmeth_0_HIexcit_1_Tfloor_10.0_f_acc_0.8_vw_10.0_Rinj_1.3_mlr_1e-07_Tw_3000.0_iwr_5_wss_1.0_bound_20.0,Malfait+2024 (10.1051/0004-6361/202450338) 
m1_1.5_icompstar_1_m2_1.0_racc2_0.04_a_6.0_e_0.0_gamma_1.2_eos_2_mu_1.26_icooling_1_icoolmeth_0_HIexcit_1_Tfloor_10.0_f_acc_0.8_vw_10.0_Rinj_1.3_mlr_1e-07_Tw_3000.0_iwr_6_wss_1.0_bound_20.0,Malfait+2024 (10.1051/0004-6361/202450338) 
m1_1.5_icompstar_1_m2_1.0_racc2_0.04_a_6.0_e_0.0_gamma_1.2_eos_2_mu_1.26_icooling_1_icoolmeth_0_HIexcit_1_Tfloor_10.0_f_acc_0.8_vw_10.0_Rinj_1.3_mlr_1e-07_Tw_3000.0_iwr_7_wss_1.0_bound_20.0,Malfait+2024 (10.1051/0004-6361/202450338) 
m1_1.5_icompstar_1_m2_1.0_racc2_0.04_a_6.0_e_0.0_gamma_1.2_eos_2_mu_1.26_icooling_1_icoolmeth_0_HIexcit_1_Tfloor_10.0_f_acc_0.8_vw_10.0_Rinj_1.3_mlr_1e-07_Tw_3000.0_iwr_8_wss_1.0_bound_20.0,Malfait+2024 (10.1051/0004-6361/202450338) 
m1_1.5_icompstar_1_m2_1.0_racc2_0.04_a_6.0_e_0.0_gamma_1.2_eos_2_mu_1.26_icooling_1_icoolmeth_0_HIexcit_1_Tfloor_10.0_f_acc_0.8_vw_10.0_Rinj_1.3_mlr_1e-07_Tw_3000.0_iwr_9_wss_1.0_bound_20.0,Malfait+2024 (10.1051/0004-6361/202450338) 
m1_1.5_icompstar_1_m2_1.0_racc2_0.01_a_6.0_e_0.0_gamma_1.2_eos_2_mu_1.26_icooling_1_icoolmeth_0_HIexcit_1_Tfloor_10.0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_1e-07_Tw_3000.0_iwr_6_wss_1.0_bound_20.0,Malfait+2024 (10.1051/0004-6361/202450338) 
m1_1.5_icompstar_1_m2_1.0_racc2_0.01_a_6.0_e_0.0_gamma_1.2_eos_2_mu_1.26_icooling_1_icoolmeth_0_HIexcit_1_Tfloor_10.0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_1e-07_Tw_3000.0_iwr_7_wss_1.0_bound_20.0,Malfait+2024 (10.1051/0004-6361/202450338) 
m1_1.5_icompstar_1_m2_1.0_racc2_0.01_a_6.0_e_0.0_gamma_1.2_eos_2_mu_1.26_icooling_1_icoolmeth_0_HIexcit_1_Tfloor_10.0_f_acc_0.8_vw_20.0_Rinj_1.3_mlr_1e-07_Tw_3000.0_iwr_8_wss_1.0_bound_20.0,Malfait+2024 (10.1051/0004-6361/202450338) 
